Date,No_Cases
30/01/20,1
31/01/20,1
01/02/20,2
02/02/20,3
03/02/20,3
04/02/20,3
05/02/20,3
06/02/20,3
07/02/20,3
08/02/20,3
09/02/20,3
10/02/20,3
11/02/20,3
12/02/20,3
13/02/20,3
14/02/20,3
15/02/20,3
16/02/20,3
17/02/20,3
18/02/20,3
19/02/20,3
20/02/20,3
21/02/20,3
22/02/20,3
23/02/20,3
24/02/20,3
25/02/20,3
26/02/20,3
27/02/20,3
28/02/20,3
29/02/20,3
01/03/20,6
02/03/20,9
03/03/20,32
04/03/20,33
05/03/20,34
06/03/20,37
07/03/20,43
08/03/20,50
09/03/20,65
10/03/20,65
11/03/20,77
12/03/20,85
13/03/20,100
14/03/20,110
15/03/20,114
16/03/20,140
17/03/20,170
18/03/20,198
19/03/20,249
20/03/20,329
21/03/20,391
22/03/20,468
23/03/20,519
24/03/20,606
25/03/20,694
26/03/20,722